date,open,high,low,close,volume
2021-04-12 10:55:00,240.62,240.87,240.51,240.5382,91084.0
2021-04-12 10:54:00,240.13,240.71,240.03,240.615,99945.0
2021-04-12 10:53:00,240.03,240.185,239.92,240.115,99993.0
2021-04-12 10:52:00,240.31,240.31,239.91,240.01,76095.0
2021-04-12 10:51:00,240.25,240.42,240.12,240.31,107223.0
2021-04-12 10:50:00,240.0201,240.3764,239.98,240.2,102287.0
2021-04-12 10:49:00,239.9355,240.3414,239.86,240.03,114896.0
2021-04-12 10:48:00,240.06,240.3299,239.91,239.9175,105774.0
2021-04-12 10:47:00,240.125,240.15,239.9265,240.06,112919.0
2021-04-12 10:46:00,240.02,240.19,240.0,240.14,124864.0
2021-04-12 10:45:00,239.66,240.07,239.53,240.02,179835.0
2021-04-12 10:44:00,239.6,239.8851,239.55,239.6613,167128.0
2021-04-12 10:43:00,240.39,240.4,239.533,239.6135,260629.0
2021-04-12 10:42:00,240.54,240.62,240.2601,240.405,115611.0
2021-04-12 10:41:00,240.945,241.15,240.54,240.54,117680.0
2021-04-12 10:40:00,240.81,240.97,240.73,240.95,94564.0
2021-04-12 10:39:00,240.52,240.79,240.45,240.79,100445.0
2021-04-12 10:38:00,240.64,240.65,240.38,240.51,109534.0
2021-04-12 10:37:00,240.655,240.71,240.5,240.64,93649.0
2021-04-12 10:36:00,240.6635,240.76,240.47,240.64,96312.0
2021-04-12 10:35:00,240.51,240.8,240.16,240.63,129334.0
2021-04-12 10:34:00,240.9101,240.97,240.46,240.5527,136638.0
2021-04-12 10:33:00,240.88,241.02,240.51,240.95,126796.0
2021-04-12 10:32:00,241.5171,241.8,240.6,240.8702,205217.0
2021-04-12 10:31:00,241.305,241.505,241.03,241.505,121339.0
2021-04-12 10:30:00,241.128,241.34,240.8888,241.3,189722.0
2021-04-12 10:29:00,241.39,241.39,241.051,241.1231,104236.0
2021-04-12 10:28:00,241.62,241.7986,241.17,241.4176,157150.0
2021-04-12 10:27:00,241.73,241.91,241.56,241.62,96752.0
2021-04-12 10:26:00,241.89,241.89,241.55,241.7077,91775.0
2021-04-12 10:25:00,241.85,242.1997,241.51,241.86,223501.0
2021-04-12 10:24:00,241.67,241.8699,241.66,241.85,130043.0
2021-04-12 10:23:00,241.55,241.8399,241.55,241.66,151501.0
2021-04-12 10:22:00,241.0,241.68,240.986,241.5527,247747.0
2021-04-12 10:21:00,240.9024,241.02,240.52,240.9836,169333.0
2021-04-12 10:20:00,240.795,241.24,240.7,240.89,234811.0
2021-04-12 10:19:00,240.92,241.1431,240.5,240.78,253822.0
2021-04-12 10:18:00,240.69,241.1099,240.69,240.9169,216601.0
2021-04-12 10:17:00,241.16,241.36,240.64,240.6825,197984.0
2021-04-12 10:16:00,241.5211,241.7099,241.11,241.18,128799.0
2021-04-12 10:15:00,241.63,241.68,241.2,241.49,201143.0
2021-04-12 10:14:00,241.66,241.74,241.42,241.63,179164.0
2021-04-12 10:13:00,241.96,241.96,241.5945,241.65,266069.0
2021-04-12 10:12:00,242.235,242.28,241.89,241.96,219564.0
2021-04-12 10:11:00,242.532,242.6,242.12,242.24,218450.0
2021-04-12 10:10:00,242.035,242.7,242.02,242.55,418128.0
