,date,Open,High,Low,Close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
288,2020-01-10,20.49,20.49,20.49,20.49,20.2072364086,0.0,0.0,1.0
289,2020-01-09,20.55,20.55,20.55,20.55,20.266408404,0.0,0.0,1.0
290,2020-01-08,20.37,20.37,20.37,20.37,20.0888924179,0.0,0.0,1.0
291,2020-01-07,20.21,20.21,20.21,20.21,19.9311004304,0.0,0.0,1.0
292,2020-01-06,20.22,20.22,20.22,20.22,19.9409624296,0.0,0.0,1.0
293,2020-01-03,20.09,20.09,20.09,20.09,19.8127564397,0.0,0.0,1.0
294,2020-01-02,20.27,20.27,20.27,20.27,19.9902724257,0.0,0.0,1.0
295,2019-12-31,19.94,19.94,19.94,19.94,19.6648264513,0.0,0.0267,1.0
296,2019-12-30,19.91,19.91,19.91,19.91,19.6089836902,0.0,0.0,1.0
297,2019-12-27,20.05,20.05,20.05,20.05,19.7468670511,0.0,0.0,1.0
298,2019-12-26,20.07,20.07,20.07,20.07,19.7665646741,0.0,0.0,1.0
299,2019-12-24,19.88,19.88,19.88,19.88,19.5794372557,0.0,0.0,1.0
300,2019-12-23,19.87,19.87,19.87,19.87,19.5695884442,0.0,0.0,1.0
301,2019-12-20,19.82,19.82,19.82,19.82,19.5203443867,0.0,0.0,1.0
302,2019-12-19,19.74,19.74,19.74,19.74,19.4415538947,0.0,0.0,1.0
303,2019-12-18,19.6,19.6,19.6,19.6,19.303670533800002,0.0,0.0,1.0
304,2019-12-17,19.59,19.59,19.59,19.59,19.2938217223,0.0,0.0,1.0
305,2019-12-16,19.57,19.57,19.57,19.57,19.2741240993,0.0,0.0,1.0
306,2019-12-13,19.39,19.39,19.39,19.39,19.0968454923,0.0,0.0,1.0
307,2019-12-12,19.34,19.34,19.34,19.34,19.0476014348,0.0,0.0,1.0
308,2019-12-11,19.19,19.19,19.19,19.19,18.8998692624,0.0,0.0,1.0
309,2019-12-10,19.08,19.08,19.08,19.08,18.791532335899998,0.0,0.0,1.0
310,2019-12-09,19.1,19.1,19.1,19.1,18.8112299589,0.0,0.0,1.0
311,2019-12-06,19.18,19.18,19.18,19.18,18.8900204509,0.0,0.0,1.0
